,color
0,#B0BF1A
1,#7CB9E8
2,#C0E8D5
3,#B284BE
4,#72A0C1
5,#EDEAE0
6,#F0F8FF
7,#C46210
8,#EFDECD
9,#E52B50
10,#9F2B68
11,#F19CBB
12,#AB274F
13,#D3212D
14,#3B7A57
15,#FFBF00
16,#FF7E00
17,#9966CC
18,#3DDC84
19,#CD9575
20,#665D1E
21,#915C83
22,#841B2D
23,#FAEBD7
24,#008000
25,#8DB600
26,#FBCEB1
27,#00FFFF
28,#7FFFD4
29,#D0FF14
30,#4B5320
31,#8F9779
32,#E9D66B
33,#B2BEB5
34,#87A96B
35,#FF9966
36,#A52A2A
37,#FDEE00
38,#568203
39,#007FFF
40,#F0FFFF
41,#89CFF0
42,#A1CAF1
43,#F4C2C2
44,#FEFEFA
45,#FF91AF
46,#FAE7B5
47,#DA1884
48,#7C0A02
49,#848482
50,#BCD4E6
51,#9F8170
52,#F5F5DC
53,#2E5894
54,#9C2542
55,#FFE4C4
56,#3D2B1F
57,#967117
58,#CAE00D
59,#BFFF00
60,#FE6F5E
61,#BF4F51
62,#3D0C02
63,#1B1811
64,#3B2F2F
65,#54626F
66,#3B3C36
67,#BFAFB2
68,#FFEBCD
69,#A57164
70,#318CE7
71,#ACE5EE
72,#FAF0BE
73,#660000
74,#0000FF
75,#1F75FE
76,#0093AF
77,#0087BD
78,#0018A8
79,#333399
80,#0247FE
81,#A2A2D0
82,#6699CC
83,#0D98BA
84,#064E40
85,#5DADEC
86,#126180
87,#8A2BE2
88,#7366BD
89,#4D1A7F
90,#5072A7
91,#3C69E7
92,#DE5D83
93,#79443B
94,#E3DAC9
95,#006A4E
96,#87413F
97,#CB4154
98,#66FF00
99,#D891EF
100,#C32148
101,#1974D2
102,#FFAA1D
103,#FF55A3
104,#FB607F
105,#004225
106,#CD7F32
107,#88540B
108,#AF6E4D
109,#1B4D3E
110,#7BB661
111,#FFC680
112,#800020
113,#DEB887
114,#A17A74
115,#CC5500
116,#E97451
117,#8A3324
118,#BD33A4
119,#702963
120,#536872
121,#5F9EA0
122,#A9B2C3
123,#91A3B0
124,#006B3C
